Language Code,Source,Sid,Xid,Title,Display Date,SHORT TITLE,Abstract,Content Type (AG),Processed Offname Text,Processed Offering version Number,Support Zone Access Level,Doc Type,Keywords,Admin,Config,Install,Using,Troubleshoot,Plan,Maintain,Customize,Optimize
en_US,publisher,docu1001,docu1001,Nayworker Module for MEDITECH Release 1.0 Administrator's Guide,"Oct 1, 2006 12:00 AM",Administrator's Guide 1.0,The CME Nayworker Module for MEDITECH Administrator's Guide provides information to backup and recover data in a MEDITECH environment with CLARiiON storage.,Documentation,Nayworker Module for MEDITECH,1,10,Manual and Guides,,Administer,,,,,,,,
en_US,publisher,docu1002,docu1002,Nayworker Module For MEDITECH Release 1.0 Installation Guide,"Oct 1, 2006 12:00 AM",0,The CME Nayworker Module for MEDITECH Installation Guide provides information for installing and configuring this Nayworker Module in a MEDITECH environment with CLARiiON storage.,Documentation,Nayworker Module for MEDITECH,1,10,Manual and Guides,,,,Install,,,,,,
en_US,publisher,docu1003,docu1003,Nayworker Module for Documen 1.0 Solaris and Microsoft Windows Version Best Practices Guide,"Jan 1, 2007 12:00 AM",Best Practices Guide 1.0,"The guide provides information on best practices for installing, configuring, and using the NMD 1.0 software for Documen Content Server backup and recovery operations.",Documentation,Nayworker Module for Documen,1,10,Manual and Guides,,Administer,Configure,,,,,,,
en_US,publisher,docu1004,docu1004,Nayworker Module for Documen 1.0 Solaris and Microsoft Windows Version Administrator's Guide,"Dec 1, 2006 12:00 AM",Administrator's Guide 1.0,"The guide provides information how to configure, use, and maintain the NMD 1.0 software for Documen Content Server backup and recovery operations.",Documentation,Nayworker Module for Documen,1,10,Manual and Guides,,Administer,,,,,,,,
en_US,publisher,docu1005,docu1005,Nayworker Module for Documen 1.0 Installation Guide,"Mar 31, 2005 12:00 AM",Installation Guide 1.0,"This guide describes how to install, configure, upgrade, or uninstall Nayworker Module for Documen on Solaris and Windows.",Documentation,Nayworker Module for Documen,1,10,Manual and Guides,,,,Install,,,,,,
en_US,publisher,docu1006,docu1006,Nayworker Module for Documen 1.0 Command Reference Guide,"Dec 1, 2004 12:00 AM",Reference Guide 1.0,The Nayworker Command Reference Guide describes commands and resources that you might encounter while running Nayworker products.,Documentation,Nayworker Module for Documen,1,10,Reference,,Administer,,,Using,,,,,
en_US,publisher,docu1007,docu1007,Nayworker Module for Documen Release 1.1 Multiplatform Version Best Practices Guide,"Mar 7, 2007 12:00 AM",Best Practices Guide 1.1,"The guide provides information on best practices for installing, configuring, and using the NMD 1.1 software for Documen Content Server backup and recovery operations.",Documentation,Nayworker Module for Documen,1.1,10,Manual and Guides,,Administer,Configure,,,,,,,
en_US,publisher,docu1008,docu1008,Nayworker Module for Documen Release 1.1 Multiplatform Version Administration Guide,"Mar 7, 2007 12:00 AM",Administrator's Guide 1.1,"The guide provides information how to configure, use, and maintain the NMD 1.1 software for Documen Content Server backup and recovery operations.",Documentation,Nayworker Module for Documen,1.1,10,Manual and Guides,,Administer,,,,,,,,
en_US,publisher,docu1009,docu1009,"Nayworker Module for Documen, Release 1.1, Multiplatform Version, Installation Guide","Mar 7, 2007 12:00 AM",Installation Guide 1.1,The guide provides information on how to install and enable the NMD 1.1 software on a Documen Server host.,Documentation,Nayworker Module for Documen,1.1,10,Manual and Guides,,,,Install,,,,,,
en_US,publisher,docu1010,docu1010,"Nayworker Module for Documen, Release 1.1, Multiplatform Version, Command Reference Guide","Jun 20, 2006 12:00 AM",Reference Guide 1.1,"CME Nayworker Module for Documen, Release 1.1, Multiplatform Version, Command Reference Guide",Documentation,Nayworker Module for Documen,1.1,10,Reference,,Administer,,,Using,,,,,
en_US,publisher,docu1011,docu1011,Nayworker Module for Documen Release 1.1 Release Notes,"Nov 24, 2006 12:00 AM",Release Notes 1.1,"This Release Supplement provides information on features, limitations, fixed bugs, and installation/configuration tips for the Nayworker Module for Documen.",Documentation,Nayworker Module for Documen,1.1,10,Release Notes,,,,Install,,,Plan,,,
en_US,publisher,docu1012,docu1012,Nayworker Module for Documen Release 1.2 Multiplatform Version Best Practices Guide,"Sep 21, 2007 12:00 AM",Best Practices Guide 1.2,"The guide provides information on best practices for installing, configuring, and using the NMD 1.2 software for Documen Content Server backup and recovery operations.",Documentation,Nayworker Module for Documen,1.2,10,Manual and Guides,,Administer,Configure,,,,,,,
en_US,publisher,docu1013,docu1013,Nayworker Module for Documen Release 1.2 Multiplatform Version Administration Guide,"Sep 21, 2007 12:00 AM",Administrator's Guide 1.2,"The guide provides information how to configure, use, and maintain the NMD 1.2 software for Documen Content Server backup and recovery operations.",Documentation,Nayworker Module for Documen,1.2,10,Manual and Guides,,Administer,,,,,,,,
en_US,publisher,docu1014,docu1014,Nayworker Module for Documen Release 1.2 Multiplatform Version Installation Guide,"Sep 21, 2007 12:00 AM",Installation Guide 1.2,The guide provides information on how to install and enable the NMD 1.2 software on a Documen Server host.,Documentation,Nayworker Module for Documen,1.2,10,Manual and Guides,,,,Install,,,,,,
en_US,publisher,docu1015,docu1015,Nayworker Module for Documen Release 1.2 Multiplatform Version Command Reference Guide,"Sep 21, 2007 12:00 AM",Reference Guide 1.2,"This guide provides the NMD 1.2 man pages, which describe commands and resources used with the NMD software.",Documentation,Nayworker Module for Documen,1.2,10,Reference,,Administer,,,Using,,,,,
en_US,publisher,docu1016,docu1016,Nayworker Module for Documen 1.2 Multiplatform Version Release Notes,"Jul 28, 2009 12:00 AM",Release Notes 1.2,"This Release Notes provides information on features, limitations, fixed bugs, and installation/configuration tips for NMD 1.2.",Documentation,Nayworker Module for Documen,1.2,10,Release Notes,,,,Install,,,Plan,,,
en_US,publisher,docu1017,docu1017,Nayworker Module for Microsoft Applications Administration Guide,"Mar 28, 2008 12:00 AM",Administrator's Guide 2.0,This document provides information about using and administering Nayworker Module for Microsoft Applications 2.0. This product replaces Nayworker VSS Client for Windows 1.0,Documentation,Nayworker Module for Microsoft Applications,2,10,Manual and Guides,,Administer,,,,,,,,
en_US,publisher,docu1018,docu1018,Nayworker Module for Microsoft Applications Installation Guide,"Mar 28, 2008 12:00 AM",Installation Guide 2.0,"This document provides installation and licensing information for Nayworker Module for Microsoft Applications 2.0, which succeeds Nayworker VSS Client for Windows 1.0",Documentation,Nayworker Module for Microsoft Applications,2,10,Manual and Guides,,,,Install,,,,,,
en_US,publisher,docu1019,docu1019,Nayworker Module for Microsoft Applications Release Notes 2.0,"Apr 15, 2008 12:00 AM",Release Notes 2.0,"These Release Notes contain product information such as product description, new features and changes, and known limitations for Nayworker Module for Microsoft Applications 2.0, which succeeds Nayworker VSS Client for Windows 1.0.",Documentation,Nayworker Module for Microsoft Applications,2,10,Release Notes,,,,Install,,,Plan,,,
en_US,publisher,docu1020,docu1020,Nayworker Module for MEDITECH 2.0 Administration Guide,"Mar 1, 2008 12:00 AM",Administrator's Guide 2.0,This document describes the backup and recovery processes for the Nayworker Module for MEDITECH software.,Documentation,Nayworker Module for MEDITECH,2,10,Manual and Guides,,Administer,,,,,,,,
en_US,publisher,docu1021,docu1021,Nayworker Module for MEDITECH 2.0 Installation Guide,"Mar 1, 2008 12:00 AM",Installation Guide 2.0,This guide provides installation and configuration information for the Nayworker Module for MEDITECH software.,Documentation,Nayworker Module for MEDITECH,2,10,Manual and Guides,,,,Install,,,,,,
en_US,publisher,docu1022,docu1022,Nayworker Module for MEDITECH 2.0 Release Notes,"Apr 23, 2008 12:00 AM",Release Notes 2.0,This document provides fixed problems and known issues related to the Nayworker Module 2.0 release.,Documentation,Nayworker Module for MEDITECH,2,10,Release Notes,,,,Install,,,Plan,,,
en_US,publisher,docu1023,docu1023,Nayworker Module for Microsoft Applications 2.1 Administration Guide,"Sep 1, 2008 12:00 AM",Administrator's Guide 2.1,"This document provides information about using and administering Nayworker Module for Microsoft Applications 2.1, which succeeds Nayworker Module for Microsoft Applications 2.0.",Documentation,Nayworker Module for Microsoft Applications,2.1,10,Manual and Guides,,Administer,,,,,,,,
en_US,publisher,docu1024,docu1024,Nayworker Module for Microsoft Applications Installation Guide,"Sep 1, 2008 12:00 AM",Installation Guide 2.1,"This document provides installation and licensing information for Nayworker Module for Microsoft Applications 2.1, which succeeds Nayworker Module for Microsoft Applications 2.0.",Documentation,Nayworker Module for Microsoft Applications,2.1,10,Manual and Guides,,,,Install,,,,,,
en_US,publisher,docu1025,docu1025,Nayworker Module for Microsoft Applications 2.1 Release Notes,"Sep 8, 2009 12:00 AM",Release Notes 2.1,"These Release Notes contain product information such as product description, new features and changes, and known limitations for Nayworker Module for Microsoft Applications 2.1 Service Pack 1, which succeeds Nayworker Module for Microsoft Applications 2.0.",Documentation,Nayworker Module for Microsoft Applications,2.1,10,Release Notes,,,,Install,,,Plan,,,
en_US,publisher,docu1026,docu1026,Nayworker Module for Microsoft Applications and CME CLARiiON Implementing Proxy Node Backups Technical Notes,"Feb 5, 2009 12:00 AM",Technical Notes 2.1,This technical note provides details on how to deploy CME Nayworker Module for Microsoft Applications in a proxy backup configuration with CME CLARiiON.,Documentation,Nayworker Module for Microsoft Applications,2.1,10,Technical Note,,Administer,Configure,,,,,,,
en_US,publisher,docu1027,docu1027,"Nayworker Module for DB2, Multiplatform Version, Release 2.1, Release Notes","Mar 19, 2009 12:00 AM",Release Notes 2.1,"This document contains information about new features, fixed problems, system requirements, known problems and limitations, technical notes, documentation corrections and additions, installation, and troubleshooting for Nayworker Module for DB2.",Documentation,Nayworker Module for IBM DB2,2.1,10,Release Notes,,,,Install,,,Plan,,,
en_US,publisher,docu1028,docu1028,Nayworker Module for DB2 Administration Guide 2.1,"Sep 25, 2007 12:00 AM",Administrator's Guide 2.1,This guide provides step-by-step instructions for administering and configuring Nayworker Module for DB2.,Documentation,Nayworker,2.1,10,Manual and Guides,,Administer,,,,,,,,
en_US,publisher,docu1029,docu1029,Nayworker Module for DB2 Release 2.1 Multiplatform Version Installation Guide,"Sep 25, 2007 12:00 AM",Installation Guide 2.1,"The guide provides information on how to install, update, and uninstall the NMDB2 2.1software on the supported platforms.",Documentation,Nayworker,2.1,10,Manual and Guides,,,,Install,,,,,,
en_US,publisher,docu1030,docu1030,Nayworker Module for Microsoft Applications 2.2 Administration Guide,"Jul 1, 2009 12:00 AM",Administrator's Guide 2.2,"This document provides information about using and administering Nayworker Module for Microsoft Applications Release 2.2, which succeeds Nayworker Module for Microsoft Applications Release 2.1.",Documentation,Nayworker Module for Microsoft Applications,2.2,10,Manual and Guides,,Administer,,,,,,,,
en_US,publisher,docu1031,docu1031,Nayworker Module for Microsoft Applications 2.2 Installation Guide,"Jul 1, 2009 12:00 AM",Installation Guide 2.2,This document provides installation and licensing information for Nayworker Module for Microsoft Applications release 2.2.,Documentation,Nayworker Module for Microsoft Applications,2.2,10,Manual and Guides,,,,Install,,,,,,
en_US,publisher,docu1032,docu1032,Nayworker Module for Microsoft Applications 2.2 Release Notes,"Sep 8, 2009 12:00 AM",Release Notes 2.2,"This document contains supplemental information for Nayworker Module for Microsoft Applications Release 2.2, which succeeds Nayworker Module for Microsoft Applications Release 2.1.",Documentation,Nayworker Module for Microsoft Applications,2.2,10,Release Notes,,,,Install,,,Plan,,,
en_US,publisher,docu1033,docu1033,Backup and Recovery of Microsoft Office SharePoint Server with Nayworker Module for Microsoft Applications 2.2 Technical Notes,"Jun 22, 2009 12:00 AM",Technical Notes 2.2,This technical note provides details on how to deploy CME Nayworker Module for Microsoft Applications to back up and recover Microsoft Office SharePoint 2007 Server.,Documentation,Nayworker Module for Microsoft Applications,2.2,10,Technical Note,,Administer,Configure,,,,,,,
en_US,publisher,docu1034,docu1034,Nayworker Module for Microsoft Applications and CME Symmetrix Implementing Proxy Node Backups 2.2 Technical Notes,"Jun 30, 2009 12:00 AM",Technical Notes 2.2,This technical note provides details on how to deploy CME Nayworker Module for Microsoft Applications in a proxy backup configuration with CME Symmetrix.,Documentation,Nayworker Module for Microsoft Applications,2.2,10,Technical Note,,Administer,Configure,,,,,,,
en_US,publisher,docu1035,docu1035,Nayworker PowerSnap Module for CLARiiON 2.3 UNIX Edition Release Notes,"Jun 27, 2007 12:00 AM",Release Notes 2.3,These Release Notes contain supplemental information about the release of CME Nayworker PowerSnap Module for CME CLARiiON.,Documentation,Nayworker Module for PowerSnap,2.3,10,Release Notes,,,,Install,,,Plan,,,
en_US,publisher,docu1036,docu1036,Nayworker PowerSnap Module for Symmetrix DMX 2.3 Release Notes,"Jul 16, 2007 12:00 AM",Release Notes 2.3,"These release notes contain supplemental information about release 2.3 of CME Nayworker PowerSnap Module for CME Symmetrix DMX. Topics include product description, new features/changes, fixed problems/changes, environmental/system requirements, known problems/limitations, technical notes, documentation, software media/organization/files, installation, and troubleshooting.",Documentation,Nayworker Module for PowerSnap,2.3,10,Release Notes,,,,Install,,,Plan,,,
en_US,publisher,docu1037,docu1037,Nayworker PowerSnap Module for NAS Devices 2.3 Release Notes,"Jun 27, 2007 12:00 AM",Release Notes 2.3,"These release notes contain supplemental information about release 2.3 of CME Nayworker PowerSnap Module for NAS Devices. Topics include product description, new features/changes, fixed problems/changes, environmental/system requirements, known problems/limitations, technical notes, documentation, software media/organization/files, installation, and troubleshooting.",Documentation,Nayworker Module for PowerSnap,2.3,10,Release Notes,,,,Install,,,Plan,,,
en_US,publisher,docu1038,docu1038,Nayworker PowerSnap Module for CME CLARiiON 2.4 Release Notes,"Jan 11, 2008 12:00 AM",Release Notes 2.4,These Release Notes contain supplemental information about the release of CME Nayworker PowerSnap Module for CME CLARiiON.,Documentation,Nayworker Module for PowerSnap,2.4,10,Release Notes,,,,Install,,,Plan,,,
en_US,publisher,docu1039,docu1039,Nayworker PowerSnap Module for CME Symmetrix DMX 2.4 Release Notes,"Mar 19, 2008 12:00 AM",Release Notes 2.4,These release notes contain supplemental information about this release of CME Nayworker PowerSnap Module for CME Symmetrix DMX.,Documentation,Nayworker Module for PowerSnap,2.4,10,Release Notes,,,,Install,,,Plan,,,
en_US,publisher,docu1040,docu1040,Nayworker PowerSnap Module for NAS Devices 2.4 Release Notes,"Jan 11, 2008 12:00 AM",Release Notes 2.4,These Release Notes contain supplemental information about this release of CME Nayworker PowerSnap Module for NAS Devices.,Documentation,Nayworker Module for PowerSnap,2.4,10,Release Notes,,,,Install,,,Plan,,,
en_US,publisher,docu1041,docu1041,Nayworker PowerSnap Module for RecoverPoint Release Notes 2.4,"Dec 21, 2007 12:00 AM",Release Notes 2.4,These release notes contain supplemental information about CME Nayworker PowerSnap Module for CME RecoverPoint.,Documentation,Nayworker Module for PowerSnap,2.4,10,Release Notes,,,,Install,,,Plan,,,
en_US,publisher,docu1042,docu1042,"Nayworker Module for Sybase UNIX Version, Administration Guide","Jun 18, 2007 12:00 AM",Administrator's Guide 3.0,This guide provides step-by-step instructions for administering and configuring the Nayworker Module for Sybase software.,Documentation,Nayworker Module for Sybase,3,10,Manual and Guides,sybase unix,Administer,,,,,,,,
en_US,publisher,docu1043,docu1043,"Nayworker Module for Sybase, Release 3.0, UNIX Version, Installation Guide","Jun 18, 2007 12:00 AM",Installation Guide 3.0,"This guide describes how to install, upgrade, and uninstall the Nayworker Module for Sybase software.",Documentation,Nayworker Module for Sybase,3,10,Manual and Guides,sybase unix,,,Install,,,,,,
en_US,publisher,docu1044,docu1044,Nayworker Module for Sybase Release 3.0 UNIX Version Release Notes,"Mar 23, 2009 12:00 AM",Release Notes 3.0,"These release notes provide supplementary information on the Nayworker Module 3.0 for Sybase software. It also provides brief descriptions of supported configurations, new features, known limitations, configuration tips, and workarounds.",Documentation,Nayworker Module for Sybase,3,10,Release Notes,sybase unix,,,Install,,,Plan,,,
en_US,publisher,docu1045,docu1045,Nayworker Module 3.0 Multiplatform Version for Lotus Administration Guide,"Jan 1, 2007 12:00 AM",Administrator's Guide 3.0,"The guide provides information on how to configure, use, and maintain the NML 3.0 software for backups and restores of Lotus Domino and Notes databases.",Documentation,Nayworker Module for IBM Lotus Notes/Domino,3,10,Manual and Guides,lotus,Administer,,,,,,,,
en_US,publisher,docu1046,docu1046,Nayworker Module for Lotus 3.0 Installation Guide,"Jan 1, 2006 12:00 AM",Installation Guide 3.0,"This guide describes how to install, configure, upgrade, or uninstall Nayworker Module for Lotus.",Documentation,Nayworker Module for IBM Lotus Notes/Domino,3,10,Manual and Guides,lotus,,,Install,,,,,,
en_US,publisher,docu1047,docu1047,Nayworker Module for Lotus 3.0 Command Reference Guide,"Jan 25, 2006 12:00 AM",Reference Guide 3.0,The Nayworker Command Reference Guide describes commands that you might encounter while running Nayworker products.,Documentation,Nayworker Module for IBM Lotus Notes/Domino,3,10,Reference,lotus,Administer,,,Using,,,,,
en_US,publisher,docu1048,docu1048,Nayworker Module for Informix Release 3.0 UNIX and Windows Version Administration Guide,"Jun 19, 2007 12:00 AM",Administrator's Guide 3.0,This guide provides step-by-step instructions for administering and configuring Nayworker Module 3.0 for Informix on UNIX and Windows.,Documentation,Nayworker Module for IBM Informix,3,10,Manual and Guides,informix unix windows,Administer,,,,,,,,
en_US,publisher,docu1049,docu1049,Nayworker Module for Informix UNIX and Windows Version Release 3.0 Installation Guide,"Jun 26, 2007 12:00 AM",Installation Guide 3.0,"This guide describes how to install, upgrade, and uninstall the Nayworker Module 3.0 for Informix on UNIX and Windows.",Documentation,Nayworker Module for IBM Informix,3,10,Manual and Guides,informix unix windows,,,Install,,,,,,
en_US,publisher,docu1050,docu1050,Nayworker Module for Informix Release 3.0 UNIX and Microsoft Windows Release Notes,"Mar 20, 2009 12:00 AM",Release Notes 3.0,These release notes contain supplemental information about CME Nayworker Module for Informix release 3.0. This is the fifth revision of these release notes.,Documentation,Nayworker Module for IBM Informix,3,10,Release Notes,informix unix windows,,,Install,,,Plan,,,
en_US,publisher,docu1051,docu1051,Nayworker Module for SAP with Oracle 3.5 Multiplatform Version Administration Guide,"Aug 1, 2007 12:00 AM",Administrator's Guide 3.5,"This guide provides information on how to configure, use, and maintain the NMSAP 3.5 software for backup and recovery of SAP data.",Documentation,Nayworker Module for SAP R/3 on Oracle,3.5,10,Manual and Guides,sap oracle,Administer,,,,,,,,
en_US,publisher,docu1052,docu1052,Nayworker Module for SAP with Oracle 3.5 Multiplatform Version Installation Guide,"Aug 1, 2007 12:00 AM",Installation Guide 3.5,"The guide provides information on how to install, update, and uninstall the NMSAP 3.5 software on the supported platforms.",Documentation,Nayworker Module for SAP R/3 on Oracle,3.5,10,Manual and Guides,sap oracle,,,Install,,,,,,
en_US,publisher,docu1053,docu1053,Nayworker Module for SAP with Oracle 3.5 Multiplatform Version Command Reference Guide,"Jun 1, 2007 12:00 AM",Reference Guide 3.5,"The guide provides the NMSAP 3.5 man pages, which describe commands and resources used with the NMSAP software.",Documentation,Nayworker Module for SAP R/3 on Oracle,3.5,10,Reference,sap oracle,Administer,,,Using,,,,,
en_US,publisher,docu1054,docu1054,Nayworker Module for SAP with Oracle 3.5 Multiplatform Version Release Notes,"Mar 20, 2009 12:00 AM",Release Notes 3.5,"This document contains information about new features, fixed problems, system requirements, known problems and limitations, technical notes, documentation, installation, and troubleshooting for the Nayworker Module for SAP with Oracle.",Documentation,Nayworker Module for SAP R/3 on Oracle,3.5,10,Release Notes,sap oracle,,,Install,,,Plan,,,
en_US,publisher,docu1055,docu1055,Nayworker Module for DB2 4.0 Release Notes,"Jul 28, 2009 12:00 AM",Release Notes 4.0,"This document contains information about new features, fixed problems, system requirements, known problems and limitations, technical notes, documentation, installation, and troubleshooting for Nayworker Module for DB2.",Documentation,Nayworker Module for IBM DB2,4,10,Release Notes,db2,,,Install,,,Plan,,,
en_US,publisher,docu1056,docu1056,Nayworker Module for DB2 4.0 Administration Guide,"Jul 31, 2009 12:00 AM",Administrator's Guide 4.0,"This guide provides information on how to configure, use, and maintain the Nayworker Module for DB2 software for regular and snapshot backup and recovery operations.",Documentation,Nayworker,4,10,Manual and Guides,db2,Administer,,,,,,,,
en_US,publisher,docu1057,docu1057,Nayworker Module for DB2 4.0 Installation Guide,"Jun 19, 2009 12:00 AM",Installation Guide 4.0,"This guide provides information on how to install, update, and uninstall the Nayworker Module for DB2 software on the supported platforms.",Documentation,Nayworker,4,10,Manual and Guides,db2,,,Install,,,,,,
en_US,publisher,docu1058,docu1058,Nayworker Module for DB2 4.0 Command Reference Guide,"Jun 19, 2009 12:00 AM",Reference Guide 4.0,"This guide provides the Nayworker Module for DB2 man pages, which describe commands and resources used with the Nayworker Module for DB2 software.",Documentation,Nayworker,4,10,Reference,db2,Administer,,,Using,,,,,
en_US,publisher,docu1059,docu1059,Nayworker Module for Oracle 4.5 Multiplatform Version Administration Guide,"May 1, 2007 12:00 AM",Administrator's Guide 4.5,"This guide provides information on how to configure, use, and maintain the Nayworker Module for Oracle software for regular and proxy Oracle backup and recovery operations.",Documentation,Nayworker Module for Oracle,4.5,10,Manual and Guides,oracle,Administer,,,,,,,,
en_US,publisher,docu1060,docu1060,Nayworker Module for Oracle 4.5 Multiplatform Version Installation Guide,"Aug 1, 2007 12:00 AM",Installation Guide 4.5,"This guide provides information on how to install, update, and uninstall the Nayworker Module for Oracle software on the supported platforms.",Documentation,Nayworker Module for Oracle,4.5,10,Manual and Guides,oracle,,,Install,,,,,,
en_US,publisher,docu1061,docu1061,Nayworker Module for Oracle 4.5 Multiplatform Version Command Reference Guide,"Mar 1, 2007 12:00 AM",Reference Guide 4.5,"This guide provides the Nayworker Module for Oracle man pages, which describe commands and resources used with the Nayworker Module for Oracle software.",Documentation,Nayworker Module for Oracle,4.5,10,Reference,oracle,Administer,,,Using,,,,,
en_US,publisher,docu1062,docu1062,Nayworker Module for Oracle 4.5 Multiplatform Version Release Notes,"Oct 15, 2009 12:00 AM",Release Notes 4.5,"This document contains information about new features, fixed problems, system requirements, known problems and limitations, technical notes, documentation, installation, and troubleshooting for Nayworker Module for Oracle.",Documentation,Nayworker Module for Oracle,4.5,10,Release Notes,oracle,,,Install,,,Plan,,,
